0070038394	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002312	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328723	payment-paid-response#2022-07-02T09:00:48.920Z
0070038410	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA5AFD0FDF6F12	payment-request-file-creation#2022-07-02T02:00:24.822Z
DUCK_CREEK_ON_DEMAND-08DA58A189B64244	payment-request-file-creation#2022-07-02T02:00:24.822Z
0000328716	payment-paid-response#2022-07-02T09:00:48.920Z
0070038390	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328733	payment-paid-response#2022-07-02T09:00:48.920Z
0070038406	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038420	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002320	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002318	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038404	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA4F33E05C078B	payment-request-file-creation#2022-07-02T02:00:24.822Z
0070038391	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328729	payment-paid-response#2022-07-02T09:00:48.920Z
0000328728	payment-paid-response#2022-07-02T09:00:48.920Z
0000328719	payment-paid-response#2022-07-02T09:00:48.920Z
0070038388	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA5AFD0C02F4CB	payment-request-file-creation#2022-07-02T02:00:24.822Z
0070038415	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA596AB12D9D88	payment-request-file-creation#2022-07-02T02:00:24.822Z
0000328715	payment-paid-response#2022-07-02T09:00:48.920Z
DUCK_CREEK_ON_DEMAND-08DA5BC632BB7352	payment-request-file-creation#2022-07-02T02:00:24.822Z
0070038411	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038414	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328714	payment-paid-response#2022-07-02T09:00:48.920Z
0070038401	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002321	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038389	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328720	payment-paid-response#2022-07-02T09:00:48.920Z
0070038403	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328724	payment-paid-response#2022-07-02T09:00:48.920Z
0070038395	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038408	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328731	payment-paid-response#2022-07-02T09:00:48.920Z
0000328736	payment-paid-response#2022-07-02T09:00:48.920Z
0000328730	payment-paid-response#2022-07-02T09:00:48.920Z
0000328727	payment-paid-response#2022-07-02T09:00:48.920Z
0070038418	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002314	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038417	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328725	payment-paid-response#2022-07-02T09:00:48.920Z
0000328718	payment-paid-response#2022-07-02T09:00:48.920Z
0070038407	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038416	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038396	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328735	payment-paid-response#2022-07-02T09:00:48.920Z
0000328737	payment-paid-response#2022-07-02T09:00:48.920Z
0000328738	payment-paid-response#2022-07-02T09:00:48.920Z
0060002319	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038405	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038386	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328713	payment-paid-response#2022-07-02T09:00:48.920Z
0070038419	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038409	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328722	payment-paid-response#2022-07-02T09:00:48.920Z
0000328734	payment-paid-response#2022-07-02T09:00:48.920Z
DUCK_CREEK_ON_DEMAND-08DA5AFD04654557	payment-request-file-creation#2022-07-02T02:00:24.822Z
0070038387	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038400	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA557CFC6ED5C2	payment-request-file-creation#2022-07-02T02:00:24.822Z
0000328721	payment-paid-response#2022-07-02T09:00:48.920Z
0070038412	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002316	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328712	payment-paid-response#2022-07-02T09:00:48.920Z
0060002315	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002313	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA5B6DCC6C7D87	payment-request-file-creation#2022-07-02T02:00:24.822Z
DUCK_CREEK_ON_DEMAND-08DA5AFD0DF44EBB	payment-request-file-creation#2022-07-02T02:00:24.822Z
0000328732	payment-paid-response#2022-07-02T09:00:48.920Z
0070038413	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328717	payment-paid-response#2022-07-02T09:00:48.920Z
0070038397	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0000328726	payment-paid-response#2022-07-02T09:00:48.920Z
0070038402	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038392	payment-request-response-accepted#2022-07-02T07:00:34.261Z
DUCK_CREEK_ON_DEMAND-08DA5A33E1714B53	payment-request-file-creation#2022-07-02T02:00:24.822Z
0070038393	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0060002317	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038399	payment-request-response-accepted#2022-07-02T07:00:34.261Z
0070038398	payment-request-response-accepted#2022-07-02T07:00:34.261Z
